title,author,date,thumb,excerpt,article_url,website_name
Polygon Cofounder Wants to Build Shibarium Rival,Godfrey Benjamin,"
Wed, 10/11/2023 - 13:14
",https://u.today/sites/default/files/styles/736x/public/2023-10/s0312.jpg,"<p dir=""ltr"">Sandeep Nailwal, the cofounder of Polygon Labs, has proposed the creation of a novel zero-knowledge-powered Ethereum Layer 2 network for the ApeCoin ecosystem to rival <a href=""https://u.today/ai-shibarium-project-launches-own-wallet-with-shiba-inus-key-partner"">Shibarium</a>. Nailwal highlighted in a <a rel=""nofollow"" target=""_blank"" href=""https://forum.apecoin.com/t/aip-idea-apechain-a-zk-powered-polygon-layer-2-to-support-apecoin-growth/19308"">proposal</a> that the potential L2, called ApeChain, will be dedicated to the ApeCoin DAO community and will bring remarkable advancements to the blockchain ecosystem. </p>",http://u.today//polygon-cofounder-wants-to-build-shibarium-rival,U Today
AI Crypto Render (RNDR) Outperforms Bitcoin (BTC): Details,Tomiwabold Olajide,"
Wed, 10/11/2023 - 12:21
",https://u.today/sites/default/files/styles/736x/public/2023-10/40996.jpg,"<p><a href=""https://u.today/collateral-network-colt-pre-sale-demonstrates-potential-litecoin-ltc-render-token-rndr-communities"">Render (RNDR)</a>, an AI crypto token, is outperforming the crypto market. Render's RNDR is up 3.35% in the last 24 hours and is currently trading at $1.81 at the time of writing.</p>",http://u.today//ai-crypto-render-rndr-outperforms-bitcoin-btc-details,U Today
SEC Gains Major Support in Coinbase Legal Brawl,Godfrey Benjamin,"
Wed, 10/11/2023 - 10:10
",https://u.today/sites/default/files/styles/736x/public/2023-10/40984.jpg,"<p dir=""ltr"">The United States Securities and Exchange Commission (SEC) has just <a rel=""nofollow"" target=""_blank"" href=""https://storage.courtlistener.com/recap/gov.uscourts.nysd.599908/gov.uscourts.nysd.599908.77.0.pdf"">received</a> much-needed support from the North American Securities Administrators Association (NASAA), which is now acting as an amicus curiae in its legal fight against top crypto exchange Coinbase Global Inc.</p>",http://u.today//sec-gains-major-support-in-coinbase-legal-brawl,U Today
Ripple Attracting Institutional Investors in Dubai: Sologenic Report,Tomiwabold Olajide,"
Wed, 10/11/2023 - 10:52
",https://u.today/sites/default/files/styles/736x/public/2023-10/40987.jpg,"<p>In a new report, <a rel=""nofollow"" target=""_blank"" href=""https://twitter.com/realSologenic/status/1711846919910371349"">Sologenic</a>, an XRP Ledger-based platform, highlights that Ripple continues to attract institutional investors in Dubai.</p>",http://u.today//ripple-attracting-institutional-investors-in-dubai-sologenic-report,U Today
Ethereum Whales Dumping ETH Hard: Report,Yuri Molchan,"
Wed, 10/11/2023 - 11:35
",https://u.today/sites/default/files/styles/736x/public/2023-10/s0305.jpg,"<p lang=""en-GB"">Crypto analyst @sunnydecree has taken to the X app (formerly known as Twitter) to share the news that Bitcoin whales have proven to be harder holders and believers in their favorite crypto than <a href=""https://u.today/ethereum-foundation-attacked-during-1700-eth-sale"">Ethereum holders</a>.</p>",http://u.today//ethereum-whales-dumping-eth-hard-report,U Today
Shiba Inu's Shibarium Eyes Explosive Activity Spike With New Accounts Flooding In,Gamza Khanzadaev,"
Wed, 10/11/2023 - 10:35
",https://u.today/sites/default/files/styles/736x/public/2023-10/40991.jpg,"<p dir=""ltr"">Shiba Inu's groundbreaking blockchain innovation, Shibarium, is making waves in the world of digital assets as it experiences a surge in user activity. Recent data from <a rel=""nofollow"" target=""_blank"" href=""https://www.shibariumscan.io/stats"">Shibariumscan</a> has revealed an astonishing increase in the number of new accounts and overall user interaction on the Shiba Inu network.</p>",http://u.today//shiba-inus-shibarium-eyes-explosive-activity-spike-with-new-accounts-flooding-in,U Today
"Shiba Inu (SHIB) Comes Close to Yearly Lows, What's Next for Price?",Arman Shirinyan,"
Wed, 10/11/2023 - 09:19
",https://u.today/sites/default/files/styles/736x/public/2023-10/40982.jpg,"<p dir=""ltr"">As the cryptocurrency market grapples with widespread sell-offs, <a href=""https://u.today/shiba-inu-shib-sets-massive-transaction-volume-of-448-trillion-shib"">Shiba Inu</a> (SHIB) is no exception, with its price teetering at approximately $0.00000683, alarmingly close to its yearly lows. This downturn practically erases the meteoric rise <a rel=""dofollow"" href=""https://www.tradingview.com/"">SHIB</a> experienced earlier in 2023, raising questions about its future prospects.</p>",http://u.today//shiba-inu-shib-comes-close-to-yearly-lows-whats-next-for-price,U Today
True Reason Why Crypto Market and Bitcoin Are Absolutely Destroyed,Arman Shirinyan,"
Wed, 10/11/2023 - 11:12
",https://u.today/sites/default/files/styles/736x/public/2023-10/s0306.jpg,"<p dir=""ltr"">The cryptocurrency <a rel=""nofollow"" target=""_blank"" href=""https://twitter.com/intotheblock/status/1711767134081110191"">market</a> is witnessing one of its steepest declines, with Bitcoin leading the catastrophic descent. As of the latest data, Bitcoin (BTC) is trading at approximately $27,178, while Ethereum (ETH) has plummeted to around $1,573. But what is propelling this brutal <a href=""https://u.today/cardano-ada-might-drop-even-further"">market</a> correction?</p>",http://u.today//true-reason-why-crypto-market-and-bitcoin-are-absolutely-destroyed,U Today
XRP Shows Extremely Bullish Sign Amid Price Downfall,Arman Shirinyan,"
Wed, 10/11/2023 - 12:01
",https://u.today/sites/default/files/styles/736x/public/2023-10/s0308.jpg,"<p dir=""ltr"">While the rest of the cryptocurrency market is bleeding out, <a href=""https://u.today/xrp-lawyer-buys-bitcoin-btc-after-this-event"">XRP</a> is painting a picture not many are seeing. Despite the local downtrend and a breach in the local support level, there is an extremely bullish sign emerging from the ripples of the market.</p>",http://u.today//xrp-shows-extremely-bullish-sign-amid-price-downfall,U Today
"33.9 Million USDT Injected into Crypto Market by Institution, Here's What It Signifies",Yuri Molchan,"
Wed, 10/11/2023 - 12:45
",https://u.today/sites/default/files/styles/736x/public/2023-10/s0310.jpg,"<p lang=""en-GB"">Blockchain sleuth @lookonchain has spread the word that an anonymous financial institution has deposited a massive amount of USDT to major U.S.-based <a href=""https://u.today/crypto-exchange-kraken-to-challenge-robinhood"">exchange Kraken</a>.</p>",http://u.today//339-million-usdt-injected-into-crypto-market-by-institution-heres-what-it-signifies,U Today
