,title,author,date,thumb,excerpt,article_url,website_name
0,This Hidden Ethereum (ETH) Support Is Extremely Important,Arman Shirinyan,"October 10,2023 ",/sites/default/files/styles/736/public/2023-10/40930.jpg,"<p dir=""ltr""><a href=""https://u.today/ethereum-foundation-just-sold-millions-in-eth-before-price-made-another-drop"">Ethereum</a>, the second-largest cryptocurrency by market capitalization, has been experiencing a challenging phase. The once-thriving DeFi and NFT sectors, which significantly contributed to Ethereum's meteoric rise, are currently subdued. The buzz and activity around these sectors have dwindled, leading to a noticeable decline in Ethereum's trading volume.</p>",http://u.today//this-hidden-ethereum-eth-support-is-extremely-important,U Today
1,"BTC Primed for Major Run, Biggest DOGE Fan Elon Musk Scores New Record, Shibarium Boosts Shiba Inu's Network Growth: Crypto News Digest by U.Today",Valeria Blokhina,"October 09,2023 ",https://u.today/sites/default/files/styles/736x/public/2023-10/40935.jpg,"<p dir=""ltr"">Here are the top four news stories of the last weekend presented to you by U.Today.</p>",http://u.today//btc-primed-for-major-run-biggest-doge-fan-elon-musk-scores-new-record-shibarium-boosts-shiba-inus,U Today
2,XRP Price Crash Reveals Intriguing Fact: Details,Tomiwabold Olajide,"October 09,2023 ",https://u.today/sites/default/files/styles/736x/public/2023-10/s0292.jpg,"<p><a href=""https://u.today/xrp-might-surprise-market-here-are-two-reasons"">XRP</a> plummeted along with the rest of the crypto market on Oct. 9 as bearish pressure emerged. XRP, the fifth cryptocurrency by market capitalization, fell to intraday lows of $0.487 from highs of $0.52, reaching a three-week low, or lows last seen on Sept. 18.</p>",http://u.today//xrp-price-crash-reveals-intriguing-fact-details,U Today
3,Cardano (ADA) Project Catalyst Achieved Number of Milestones in Fund10 Round,Vladislav Sopov,"October 09,2023 ",https://u.today/sites/default/files/styles/736x/public/2023-10/s0287.jpg,"<p>Cardano (ADA), the second-largest proof-of-stake (PoS) blockchain by market captalization, has just finished its decentralized funding initiative, Project Catalyst. Its tenth iteration set an impressive number of record-breaking highs in key metrics.</p>",http://u.today//cardano-ada-project-catalyst-achieved-number-of-milestones-in-fund10-round,U Today
4,"Shiba Inu (SHIB) Triggers 1,500% On-chain Spike, What's Going On?",Tomiwabold Olajide,"October 09,2023 ",https://u.today/sites/default/files/styles/736x/public/2023-10/s0286%2C1.jpg,"<p>Canine-themed <a href=""https://u.today/shiba-inu-shib-flashes-key-signal-on-hourly-chart-what-to-watch"">Shiba Inu</a> is showing a surprising on-chain spike as the market experiences selling pressure.</p>",http://u.today//shiba-inu-shib-triggers-1500-on-chain-spike-whats-going-on,U Today
5,"Base TVL Jumps 26% in Week, What's Behind This Move?",Godfrey Benjamin,"October 09,2023 ",https://u.today/sites/default/files/styles/736x/public/2023-10/s0290.jpg,"<p dir=""ltr"">Layer-2 blockchain protocol Base has hit a new milestone as it pushes on to enforce its dominance among the L2 chains on the Ethereum blockchain. <a rel=""nofollow"" target=""_blank"" href=""https://l2beat.com/scaling/projects/base"">According</a> to data from L2Beat, the Base network's total value locked (TVL) is now pegged at $550 million, up by more than 26% in the week-to-date (WTD) period.</p>",http://u.today//base-tvl-jumps-26-in-week-whats-behind-this-move,U Today
6,Binance (BNB) Launches Copy Trading Module,Vladislav Sopov,"October 09,2023 ",https://u.today/sites/default/files/styles/736x/public/2023-10/40933.jpg,"<p>Binance (BNB), the world's largest cryptocurrency trading platform, invites all of their customers to try their skills in an automated copy trading module. Its leaderboard features master traders with impressive PnL and assets under management (AUM) metrics.</p>",http://u.today//binance-bnb-launches-copy-trading-module,U Today
7,Ethereum's Vitalik Buterin Attracts More Criticism from Cardano's Hoskinson,Alex Dovbnya,"October 09,2023 ",https://u.today/sites/default/files/styles/736x/public/2023-10/s0267.jpg,"<p>Ethereum's co-founder Vitalik Buterin <a rel=""nofollow"" target=""_blank"" href=""https://notes.ethereum.org/@vbuterin/staking_2023_10"">recently discussed</a> potential protocol and staking pool changes for the Ethereum network, suggesting they could enhance decentralization and efficiency. However, his comments have drawn criticism from Charles Hoskinson, the founder of Cardano, and other members of the Cardano community.</p>",http://u.today//ethereums-vitalik-buterin-attracts-more-criticism-from-cardanos-hoskinson,U Today
8,Tornado Cash Reigns Supreme on Ethereum ,Alex Dovbnya,"October 09,2023 ",https://u.today/sites/default/files/styles/736x/public/2023-10/14098.jpg,"<p>Despite facing sanctions from the U.S. Treasury in August 2022, Tornado Cash <a rel=""nofollow"" target=""_blank"" href=""https://twitter.com/ArkhamIntel/status/1711456563817570750"">continues</a> to dominate as the premier crypto mixer on the Ethereum network. </p>",http://u.today//tornado-cash-reigns-supreme-on-ethereum,U Today
9,Top Ripple Executive Calls It Quits ,Alex Dovbnya,"October 09,2023 ",https://u.today/sites/default/files/styles/736x/public/2023-10/231423432.png,"<p>Kristina Campbell, the chief financial officer of cryptocurrency giant Ripple, has <a rel=""nofollow"" target=""_blank"" href=""https://twitter.com/EleanorTerrett/status/1711382153655705879"">departed</a> her role. She will now be assuming the mantle of CFO at Maven Clinic. </p>",http://u.today//top-ripple-executive-calls-it-quits,U Today
