,title,author,date,thumb,excerpt,article_url,website_name
0,Should You Short or Long BIGTIME? Expert Suggests Watching This Metric,Abdulkarim Abdulwahab,"October 14, 2023",https://coinedition.com/wp-content/uploads/2023/04/OnChain-Metrics-for-BTC-ETH.jpg,"<p>In a recent tweet, <a href=""https://coinedition.com/lookonchain-spots-whale-borrowing-34m-in-bnb-to-farm-cyber-sei/"">Lookonchain</a>, a well-known crypto market on-chain resource, highlighted the remarkable upswing in the price of the freshly listed cryptocurrency Big Time (BIGTIME). Specifically, Lookonchain raised a critical query for traders concerning assessing BIGTIME’s price changes, mainly whether to adopt a long or short position.</p>",https://coinedition.com/should-you-short-or-long-bigtime-expert-suggests-watching-this-metric/,Coin Edition
1,Coinbase Slams SEC for Unilluminating Update on Rule-Making Petition,Nynu V Jamal,"October 14, 2023",https://coinedition.com/wp-content/uploads/2023/03/COINBASE-4-1.jpg,"<p>Coinbase recently filed a motion in the Third Circuit Court, requesting the court to urge the <a href=""https://coinedition.com/tag/sec"">Securities and Exchange Commission (SEC)</a> to respond immediately to the long, unsettled rule-making petition submitted by the company. The motion intends to issue a mandamus within 30 days, urging the regulators to deliver an official answer on their acceptance or denial of the petition.</p>",https://coinedition.com/coinbase-slams-sec-for-unilluminating-update-on-rule-making-petition/,Coin Edition
2,Ferrari’s Groundbreaking Move: Accepts Payment in Crypto,Nynu V Jamal,"October 14, 2023",https://coinedition.com/wp-content/uploads/2023/05/CertiK-Alert-Reports-Bitpaid-Faces-81-Drop-And-30K-Loss-Due-to-Exploit.jpg,"<p>The Italian luxury sports car Ferrari recently <a href=""https://www.reuters.com/business/autos-transportation/ferrari-accept-crypto-payment-its-cars-us-2023-10-14/"" target=""_blank"" rel=""nofollow"">announced</a> its decision to accept cryptocurrency as a means of payment in the United States, shortly extending the scheme to Europe. As per the latest report by Reuters, Ferrari’s groundbreaking move came in response to requests from dealers and individual clients who have largely invested in crypto.</p>",https://coinedition.com/ferraris-groundbreaking-move-accepts-payment-in-crypto/,Coin Edition
3,This is Not the Right Time to Acquire LUNC: Crypto Analyst,Ikemefula Aruogu,"October 14, 2023",https://coinedition.com/wp-content/uploads/2023/03/LUNC-Rising-Trend-Signals.jpg,"<p>According to Classy Crypto, a renowned Terra Luna Classic analyst on <a href=""https://www.youtube.com/watch?v=3vdUYezT1PY"" target=""_blank"" rel=""nofollow"">YouTube</a>, this is not the right time to acquire LUNC, the native token of <a href=""https://coinedition.com/tag/terra-luna-classic-lunc/"">Terra Classic</a>. Classy Crypto noted his reason to be because LUNC’s current situation is very concerning.</p>",https://coinedition.com/this-is-not-the-right-time-to-acquire-lunc-crypto-analyst/,Coin Edition
4,FTX Estate is Staking 5.5M Solana Tokens: Whale Alert,Ikemefula Aruogu,"October 14, 2023",https://coinedition.com/wp-content/uploads/2022/11/Price-analysis-7.jpg,"<p>According to Ashpool, an X account renowned for crypto research, <a href=""https://coinedition.com/tag/ftx-news/"">FTX</a> estate is staking 5.5 million SOL. In its post, Ashpool referenced another post from Whale Alert showing an SOL transaction between two unknown wallets to the tune of 5,546,217 SOL, equivalent to $121,255,031. </p>",https://coinedition.com/ftx-estate-is-staking-5-5m-solana-tokens-whale-alert/,Coin Edition
5,Binance’s KYC Policies Under Scrutiny After Hamas Accounts Suspended,Vignesh Karunanidhi,"October 13, 2023",https://coinedition.com/wp-content/uploads/2023/07/Binance-France-Financial-Report-696x392.jpg,<p>Crypto analyst Adam Cochran sparked debate on X (previously Twitter) over Binance’s know-your-customer (KYC) policies after highlighting suspicious accounts.</p>,https://coinedition.com/binances-kyc-policies-under-scrutiny-after-hamas-accounts-suspended/,Coin Edition
6,New sFRAX Vault Locks $35 Million Worth Of Deposits In 24 Hours,Ross,"October 14, 2023",https://coinedition.com/wp-content/uploads/2023/02/SYN-Market-Bulls.jpg,"<p>On October 12, Crypto Hedge Fund Ouroboros Capital announced that the decentralized cross-chain protocol, Frax Finance introduced sFRAX, an ERC4626 staking vault, enabling FRAX holders to earn yields equivalent to the <a href=""https://www.federalreserve.gov/monetarypolicy/reserve-balances.htm"" target=""_blank"" rel=""nofollow"">interest rate</a> on reserve balances set by the U.S. Federal Reserve (IORB). However, the influx of investor funds into its newly introduced high-yield staking product failed to impact the protocol’s governance token, FXS.</p>",https://coinedition.com/new-sfrax-vault-locks-35-million-worth-of-deposits-in-24-hours/,Coin Edition
7,"Bitcoin’s Hourly, Daily, and Weekly Performance Examined by Chart Analyst",Abdulkarim Abdulwahab,"October 13, 2023",https://coinedition.com/wp-content/uploads/2023/06/2022-2040-Price-Predictions-for-Bitcoin.jpg,"<p>Bitcoin has incurred an over 3% loss in its value under the seven-day performance metric, according to data. While Bitcoin trades below the $27k mark, Nick Regan, a chart analyst at the Cheeky Crypto YouTube channel, beamed the spotlight on BTC’s various time frames.</p>",https://coinedition.com/bitcoins-hourly-daily-and-weekly-performance-examined-by-chart-analyst/,Coin Edition
8,"New IRS Rules May Shudder Crypto Industries, Says Coinbase",Nynu V Jamal,"October 13, 2023",https://coinedition.com/wp-content/uploads/2023/08/Deaton-Supporting-Coinbase-696x392.jpg,"<p>According to the new tax gap projections for 2020 and 2021<a href=""https://www.irs.gov/newsroom/irs-updates-tax-gap-projections-for-2020-2021-projected-annual-gap-rises-to-688-billion"" target=""_blank"" rel=""nofollow""> </a><a href=""https://www.irs.gov/newsroom/irs-updates-tax-gap-projections-for-2020-2021-projected-annual-gap-rises-to-688-billion"" target=""_blank"" rel=""nofollow"">released</a> by the Internal Revenue Service (IRS), the “tax gap” in the United States has surpassed $600 billion in 2021. The IRS proposed new rules to confront the growing tax gap, pointing out that the findings couldn’t account for noncompliance in areas including digital assets and cryptocurrencies.</p>",https://coinedition.com/new-irs-rules-may-shudder-crypto-industries-says-coinbase/,Coin Edition
9,"Hoskinson on ETHGate: XRP Never Threatens ETH, It Has No Smart Contracts",Abdulkarim Abdulwahab,"October 14, 2023",https://coinedition.com/wp-content/uploads/2022/10/Hoskinson-Addresses-A-Variety-Of-Topics-In-His-Newest-AMA-Video.jpg,"<p>The <a href=""https://coinedition.com/crypto-insider-blows-hot-in-explosive-allegations-against-sec/"">ETHGate scandal</a>, which borders on the allegation of the member of the Ethereum community supposedly bribing officials of the U.S. regulator, is never subsiding as Cardano founder Charles Hoskinson fervently counters the claims from the XRP enthusiasts.</p>",https://coinedition.com/hoskinson-on-ethgate-xrp-never-threatens-eth-it-has-no-smart-contracts/,Coin Edition
