,title,author,date,thumb,excerpt,article_url,website_name
0,JPMorgan CEO warns we’re living in ‘the most dangerous times’ ,Vinicius Barbosa ,2023-10-13,https://finbold.com/app/uploads/2023/10/Jamie-Dimon-JPMorgan-dangerous-times.jpg,"<p class=""paragraph"">In times of pandemics and wars, the <a href=""https://finbold.com/category/finance-news/"" target=""_blank"" rel=""noreferrer noopener"">economy</a> is facing meaningful challenges worldwide with unprecedented inflation growth, <a href=""https://finbold.com/us-national-debt-is-33-times-higher-than-total-crypto-market-cap/"" target=""_blank"" rel=""noreferrer noopener"">national debt accumulation</a>, interest rate hikes, and liquidity crises. Many of the proposed solutions that worked before, under better conditions, are not accomplishing the expected results, and experts struggle to find the right path to follow.</p>",https://finbold.com/jpmorgan-ceo-warns-were-living-in-the-most-dangerous-times/,Finbold
1,Hong Kong’s crypto index creator ditches USDC to onboard XRP ,Vinicius Barbosa ,2023-10-13,https://finbold.com/app/uploads/2023/10/HKVAC-crypto-index-XRP-1024x683.jpg,"<p class=""paragraph""><a href=""https://finbold.com/category/finance-news/"" target=""_blank"" rel=""noreferrer noopener"">Financial</a> <a href=""https://finbold.com/index-investing-canada"" target=""_blank"" rel=""noreferrer noopener"">indexes</a> are numeric scores that assist investors in following consolidated data on different markets or sectors, usually weighted by specific rules or the importance each index manager sees for each asset composing its basket. </p>",https://finbold.com/hong-kongs-crypto-index-creator-ditches-usdc-to-onboard-xrp/,Finbold
2,Ferrari to officially accept crypto as payment for its supercars ,Justinas Baltrusaitis ,2023-10-14,https://finbold.com/app/uploads/2023/10/Ferrari-to-officially-accept-crypto-as-payment-for-its-supercars-1024x680.jpg,"<p class=""paragraph"">In a groundbreaking move, luxury sports car manufacturer Ferrari has announced its decision to accept <a href=""https://finbold.com/guides/cryptocurrency/"">cryptocurrency</a> as a form of payment for its vehicles in the United States, with plans to extend this payment option to Europe in the near future. </p>",https://finbold.com/ferrari-to-officially-accept-crypto-as-payment-for-its-supercars/,Finbold
3,Plan trading Bitcoin next week? Here’s what you should know ,Vinicius Barbosa ,2023-10-14,https://finbold.com/app/uploads/2023/10/Bitcoin-trade-next-week.jpg,"<p class=""paragraph"">Bitcoin (<a href=""https://finbold.com/cryptocurrency/bitcoin"" target=""_blank"" rel=""noreferrer noopener"">BTC</a>) had a negative past week regarding its price action. With a retrace starting on October 7, after a previous consolidation week that followed an uptrend since September 11. In the past seven days, BTC lost around 4% of its market value, until the time of publication.</p>",https://finbold.com/plan-trading-bitcoin-next-week-heres-what-you-should-know/,Finbold
4,National security concerns emerge over Chinese Bitcoin mine in Wyoming ,Justinas Baltrusaitis ,2023-10-14,https://finbold.com/app/uploads/2023/10/National-security-concerns-emerge-over-Chinese-Bitcoin-mine-in-Wyoming-1024x693.jpg,"<p class=""paragraph"">National security concerns have been raised over a Chinese Bitcoin (<a href=""https://finbold.com/cryptocurrency/bitcoin/"">BTC</a>) mining operation in Cheyenne, Wyoming, and stakeholders believe it could pose a significant threat to critical military infrastructure in the United States. </p>",https://finbold.com/national-security-concerns-emerge-over-chinese-bitcoin-mine-in-wyoming/,Finbold
5,HopeCard public beta goes live connecting Web2 and Web3 for crypto users ,Jordan Major ,2023-10-13,https://finbold.com/app/uploads/2023/10/HopeCard-public-beta-goes-live-connecting-Web2-and-Web3-for-crypto-users.jpg,"<p class=""paragraph"">The <a href=""https://hopecard.io/"" target=""_blank"" rel=""noreferrer noopener nofollow"">HopeCard</a>, a protocol integrated into the HOPE Ecosystem, serves as a mediator between Web2 and Web3 platforms, facilitating <a href=""https://finbold.com/category/cryptocurrency-news/"">cryptocurrency</a> transactions for global users. </p>",https://finbold.com/hopecard-public-beta-goes-live-connecting-web2-and-web3-for-crypto-users/,Finbold
6,XRP faces critical support test as market volatility persists ,Jordan Major ,2023-10-13,https://finbold.com/app/uploads/2023/10/XRP-faces-critical-support-test-as-market-volatility-persists.jpg,"<p class=""paragraph""><a href=""https://finbold.com/cryptocurrency/xrp"">XRP</a>, one of the prominent names in the <a href=""https://finbold.com/category/cryptocurrency-news/"">cryptocurrency</a> landscape, is currently undergoing a significant market test. </p>",https://finbold.com/xrp-faces-critical-support-test-as-market-volatility-persists/,Finbold
7,XRP community calls out US government over terror financing allegations ,Ana Zirojevic ,2023-10-13,https://finbold.com/app/uploads/2023/10/XRP-community-calls-out-US-government-over-terror-financing-allegations-1024x682.jpg,"<p class=""paragraph""><strong>Update (October 13):</strong><em> On Friday, a Warburg Pincus representative reached out to Finbold to clarify, stating, “Warburg Pincus is not an investor in Genesis.”</em></p>",https://finbold.com/xrp-community-calls-out-us-government-over-terror-financing-allegations/,Finbold
8,Axie Infinity massive token unlock ahead; What’s next for AXS? ,Vinicius Barbosa ,2023-10-14,https://finbold.com/app/uploads/2023/10/Axie-Infinity-AXS-token-unlock.jpg,"<p class=""paragraph"">Axie Infinity (<a href=""https://finbold.com/cryptocurrency/axie-infinity"" target=""_blank"" rel=""noreferrer noopener"">AXS</a>) positioned itself among the leading and most popular ‘<a href=""https://finbold.com/play-to-earn-crypto-games"" target=""_blank"" rel=""noreferrer noopener"">play-to-earn</a>’ blockchain games during 2021’s gaming mania in the <a href=""https://finbold.com/category/cryptocurrency-news/"" target=""_blank"" rel=""noreferrer noopener"">cryptocurrency market</a>. The project gathered hundreds of thousands of players, attracting investors and speculators due to its <a href=""https://finbold.com/category/finance-news/"" target=""_blank"" rel=""noreferrer noopener"">financial</a> nature.</p>",https://finbold.com/axie-infinity-massive-token-unlock-ahead-whats-next-for-axs/,Finbold
9,Crypto doom: Market crash erases $56 billion from top coins ,Vinicius Barbosa ,2023-10-13,https://finbold.com/app/uploads/2023/10/crypto-market-cap-crash.jpg,"<p class=""paragraph"">In another volatile period driven by <a href=""https://finbold.com/guide/bear-market-definition/"" target=""_blank"" rel=""noreferrer noopener"">bearish</a> <a href=""https://finbold.com/category/finance-news/"" target=""_blank"" rel=""noreferrer noopener"">financial news</a>, the <a href=""https://finbold.com/category/cryptocurrency-news/"" target=""_blank"" rel=""noreferrer noopener"">cryptocurrency market</a> has faced another red week, with most projects registering meaningful losses in the last seven days, despite a few <a href=""https://finbold.com/cryptocurrencies"" target=""_blank"" rel=""noreferrer noopener"">cryptocurrencies</a> outperforming the vast majority with extraordinary gains.</p>",https://finbold.com/crypto-doom-market-crash-erases-56-billion-from-top-coins/,Finbold
