title,author,date,thumb,excerpt,article_url,website_name
"Bitcoin Flashing Signs of Returning Strength Amid Tumultuous Macro Backdrop, Says Lead Glassnode Analyst",Daily Hodl Staff,"October 10, 2023",https://dailyhodl.com/wp-content/uploads/2023/10/Returning-Strength-btc.jpg?w=350&h=250&crop=1,A top analyst for the crypto analytics firm Glassnode believes Bitcoin (BTC) is gearing up...,https://dailyhodl.com/2023/10/10/bitcoin-flashing-signs-of-returning-strength-amid-tumultuous-macro-backdrop-says-lead-glassnode-analyst/,The Daily Hodl
Ethereum-Based Altcoin Explodes 40% in 24 Hours As Crypto Whale Rapidly Accumulates: On-Chain Data,Daily Hodl Staff,"October 10, 2023",https://dailyhodl.com/wp-content/uploads/2023/10/Crypto-Whale-Rapidly-Accumulates.jpg?w=350&h=250&crop=1,One altcoin project soared over a 24-hour period as a crypto whale accumulated a massive...,https://dailyhodl.com/2023/10/10/ethereum-based-altcoin-explodes-40-in-24-hours-as-crypto-whale-rapidly-accumulates-on-chain-data/,The Daily Hodl
"Billionaire Ray Dalio Predicts Return of Money-Printing Spree, Says Federal Reserve Continuing To Lose Money",Henry Kanapi,"October 10, 2023",https://dailyhodl.com/wp-content/uploads/2023/10/Money-Printing-Spree.jpg?w=350&h=250&crop=1,Billionaire investor Ray Dalio believes it's only a matter of time before the Federal Reserve...,https://dailyhodl.com/2023/10/10/billionaire-ray-dalio-predicts-return-of-money-printing-spree-says-federal-reserve-continuing-to-lose-money/,The Daily Hodl
Trader Who Nailed 2018 Bitcoin Bottom Warns BTC Could Easily Repeat 2020 Collapse – Here’s His Downside Target,Henry Kanapi,"October 10, 2023",https://dailyhodl.com/wp-content/uploads/2023/10/BTC-Could-Easily-Repeat-.jpg?w=350&h=250&crop=1,The trader who accurately called the 2018 bear market bottom for Bitcoin (BTC) warns that...,https://dailyhodl.com/2023/10/10/trader-who-nailed-2018-bitcoin-bottom-warns-btc-could-easily-repeat-2020-collapse-heres-his-downside-target/,The Daily Hodl
"$77,800,000,000 Asset Manager Warns Future Is Uncertain for Avalanche, Says AVAX Facing Multiple Headwinds",Alex Richardson,"October 9, 2023",https://dailyhodl.com/wp-content/uploads/2023/06/avax-exceeds-monthly-active.jpg?w=350&h=250&crop=1,"Investment giant VanEck is weighing in on Ethereum (ETH) rival Avalanche (AVAX), warning that the...",https://dailyhodl.com/2023/10/09/77800000000-asset-manager-warns-future-is-uncertain-for-avalanche-says-avax-facing-multiple-headwinds/,The Daily Hodl
SEC Says Crypto Assets Have No ‘Inherent Value’ in New Court Motion Against Coinbase,Daily Hodl Staff,"October 9, 2023",https://dailyhodl.com/wp-content/uploads/2023/01/sec-charges-scheme-returns.jpg?w=350&h=250&crop=1,The U.S. Securities and Exchange Commission (SEC) has stated that digital assets have no inherent...,https://dailyhodl.com/2023/10/09/sec-says-crypto-assets-have-no-inherent-value-in-new-court-motion-against-coinbase/,The Daily Hodl
"Crypto Analyst Predicts More Rallies for Ethereum-Based Altcoin, Says Crazy Moves Ahead for Bitcoin (BTC)",Henry Kanapi,"October 9, 2023",https://dailyhodl.com/wp-content/uploads/2023/03/the-Fire-of-Crypto.jpg?w=350&h=250&crop=1,A closely followed crypto strategist says more rallies are likely in sight for a low-cap...,https://dailyhodl.com/2023/10/09/crypto-analyst-predicts-more-rallies-for-ethereum-based-altcoin-says-crazy-moves-ahead-for-bitcoin-btc/,The Daily Hodl
"‘Most Brutal Part of the Market Cycle’ Now Unfolding for Crypto Markets, Says Analyst Benjamin Cowen",Daily Hodl Staff,"October 9, 2023",https://dailyhodl.com/wp-content/uploads/2021/04/quantum-btc.jpg?w=350&h=250&crop=1,Crypto strategist Benjamin Cowen says that the crypto market is entering one of the most...,https://dailyhodl.com/2023/10/09/most-brutal-part-of-the-market-cycle-now-unfolding-for-crypto-markets-says-analyst-benjamin-cowen/,The Daily Hodl
"Berkshire Hathaway’s Charlie Munger Slams Bitcoin, Says Most Crypto Investments ‘Going to Zero’: Report",Mehron Rokhy,"October 9, 2023",https://dailyhodl.com/wp-content/uploads/2023/07/cme-bitcoin-futures-price.jpg?w=350&h=250&crop=1,Investing veteran Charlie Munger of Berkshire Hathaway is reportedly saying most digital assets – including...,https://dailyhodl.com/2023/10/09/berkshire-hathaways-charlie-munger-slams-bitcoin-says-most-crypto-investments-going-to-zero-report/,The Daily Hodl
One Ethereum Rival Still ‘Altcoin of Choice’ for Institutions As Crypto Sees Biggest Inflows Since July: CoinShares,Daily Hodl Staff,"October 9, 2023",https://dailyhodl.com/wp-content/uploads/2022/01/solana-plagued-issues.jpg?w=350&h=250&crop=1,Digital assets manager CoinShares says that one Ethereum (ETH) rival is being favored by institutional...,https://dailyhodl.com/2023/10/09/one-ethereum-rival-still-altcoin-of-choice-for-institutions-as-crypto-sees-biggest-inflows-since-july-coinshares/,The Daily Hodl
