title,author,date,thumb,excerpt,article_url,website_name
Mind-Blowing 20 Trillion Shiba Inu (SHIB) Shoveled by Whales: What's Happening?,Arman Shirinyan,"
Thu, 10/12/2023 - 13:06
",https://u.today/sites/default/files/styles/736x/public/2023-10/41037.jpg,"<p dir=""ltr"">In a remarkable power play, anonymous whales are making waves in the <a href=""https://u.today/shiba-inu-shib-might-be-in-for-surprising-breakout-heres-why"">Shiba Inu</a> (SHIB) ecosystem. A staggering 20 trillion <a rel=""nofollow"" target=""_blank"" href=""https://etherscan.io/tx/0x3f46ecb6c2beed68ff678bceab002f7f888fd97e0e124676f8685b1006bc52ba"">SHIB</a>, a sum not for the fainthearted, has been on the move. But the plot thickens. Just a week ago, an enigmatic figure funneled over four trillion SHIB from one covert wallet to another, a strategy reminiscent of a shell game. The origin? Another incognito entity that had received it three weeks prior. The SHIB trail, it seems, is as mystifying as it is massive.</p>",http://u.today//mind-blowing-20-trillion-shiba-inu-shib-shoveled-by-whales-whats-happening,U Today
Analyst Benjamin Cowen Highlights Ethereum's Poor Performance,Arman Shirinyan,"
Thu, 10/12/2023 - 10:31
",https://u.today/sites/default/files/styles/736x/public/2023-10/41025.jpg,"<p dir=""ltr"">Analyst Benjamin Cowen shed light on <a href=""https://u.today/ethereum-eth-price-analysis-for-october-11"">Ethereum's</a> (ETH) performance, which, contrary to popular belief, has not been as robust as many in the <a rel=""nofollow"" target=""_blank"" href=""https://twitter.com/intocryptoverse/status/1712239764064104705"">crypto</a> community think it is.</p>",http://u.today//analyst-benjamin-cowen-highlights-ethereums-poor-performance,U Today
Spot Bitcoin ETF Close to Being Approved by SEC,Alex Dovbnya,"
Thu, 10/12/2023 - 05:28
",https://u.today/sites/default/files/styles/736x/public/2023-10/23423432.jpeg,"<p>The race for the coveted approval of a spot Bitcoin exchange-traded funds by the U.S. Securities and Exchange Commission (SEC) is heating up. Jake Chervinsky, chief policy officer at Blockchain Association, <a rel=""nofollow"" target=""_blank"" href=""https://twitter.com/jchervinsky/status/1712296295044415651"">says</a> that ""all signs point toward SEC approval for bitcoin spot ETFs.""</p>",http://u.today//spot-bitcoin-etf-close-to-being-approved-by-sec,U Today
Bitcoin Bull Market Will Start When BTC Takes Over This Price Point,Gamza Khanzadaev,"
Thu, 10/12/2023 - 10:47
",https://u.today/sites/default/files/styles/736x/public/2023-10/41027.jpg,"<p dir=""ltr"">In a week marked by crypto market fluctuations, <a href=""https://u.today/bitcoin-bulls-receive-warning-from-expert-trader-peter-brandt-in-new-btc-price-review"">Bitcoin</a> investors have been eagerly eyeing the charts, searching for signs of a potential bull market resurgence. Amid the recent dip, where <a href=""https://u.today/spot-bitcoin-etf-close-to-being-approved-by-sec"">BTC</a> lost more than 4.2% of its value, expert crypto market analyst <a rel=""nofollow"" target=""_blank"" href=""https://x.com/ali_charts/status/1712368855140499907?s=20"">Ali Martinez</a> has offered a glimmer of hope to the crypto community.</p>",http://u.today//bitcoin-bull-market-will-start-when-btc-takes-over-this-price-point,U Today
"Shibarium-Based AI Coin Boasts New Listing, Here's Price Reaction",Yuri Molchan,"
Thu, 10/12/2023 - 11:20
",https://u.today/sites/default/files/styles/736x/public/2023-10/41026.jpg,"<p lang=""en-GB"">The official marketing expert of the Shiba Inu team, known to the community as Lucie, has taken to the X social media platform (formerly known as Twitter) to celebrate the new listing of <a href=""https://u.today/shytoshi-kusama-names-one-vital-reason-for-future-shib-price-rise"">Shibarium</a> partner coin Bad Idea AI (BAD).</p>",http://u.today//shibarium-based-ai-coin-boasts-new-listing-heres-price-reaction,U Today
Gaming Token BIGTIME Soars 320% on Coinbase Listing,Godfrey Benjamin,"
Thu, 10/12/2023 - 12:24
",https://u.today/sites/default/files/styles/736x/public/2023-10/41028.jpg,"<p dir=""ltr"">The sustained bearish slump of Bitcoin (BTC) and most altcoins cannot be said to be encompassing, as new players like gaming token Big Time (BIGTIME) are bucking the trend. The token is currently up 320% to $0.2744. Overnight, BIGTIME <a rel=""nofollow"" target=""_blank"" href=""https://coinmarketcap.com/currencies/big-time/#Chart"">inked</a> a new all-time high (ATH) of $0.3012, placing it on the radar as the best-performing altcoins thus far this week.</p>",http://u.today//gaming-token-bigtime-soars-320-on-coinbase-listing,U Today
"Shiba Inu (SHIB) Triggers 388% Spike in Whale Activity, What to Watch",Tomiwabold Olajide,"
Thu, 10/12/2023 - 12:03
",https://u.today/sites/default/files/styles/736x/public/2023-10/41023.jpg,"<p>Dog-themed cryptocurrency <a href=""https://u.today/shiba-inu-shib-sets-massive-transaction-volume-of-448-trillion-shib"">Shiba Inu</a> has seen a 388% increase in large transactions in the last 24 hours. The past day saw a large transaction volume of 6.48 trillion SHIB. This is the highest in the last seven days.</p>",http://u.today//shiba-inu-shib-triggers-388-spike-in-whale-activity-what-to-watch,U Today
AI Crypto Render (RNDR) Outperforms Bitcoin (BTC): Details,Tomiwabold Olajide,"
Wed, 10/11/2023 - 12:21
",https://u.today/sites/default/files/styles/736x/public/2023-10/40996.jpg,"<p><a href=""https://u.today/collateral-network-colt-pre-sale-demonstrates-potential-litecoin-ltc-render-token-rndr-communities"">Render (RNDR)</a>, an AI crypto token, is outperforming the crypto market. Render's RNDR is up 3.35% in the last 24 hours and is currently trading at $1.81 at the time of writing.</p>",http://u.today//ai-crypto-render-rndr-outperforms-bitcoin-btc-details,U Today
"33.9 Million USDT Injected into Crypto Market by Institution, Here's What It Signifies",Yuri Molchan,"
Wed, 10/11/2023 - 12:45
",https://u.today/sites/default/files/styles/736x/public/2023-10/s0310.jpg,"<p lang=""en-GB"">Blockchain sleuth @lookonchain has spread the word that an anonymous financial institution has deposited a massive amount of USDT to major U.S.-based <a href=""https://u.today/crypto-exchange-kraken-to-challenge-robinhood"">exchange Kraken</a>.</p>",http://u.today//339-million-usdt-injected-into-crypto-market-by-institution-heres-what-it-signifies,U Today
Polygon Cofounder Wants to Build Shibarium Rival,Godfrey Benjamin,"
Wed, 10/11/2023 - 13:14
",https://u.today/sites/default/files/styles/736x/public/2023-10/s0312.jpg,"<p dir=""ltr"">Sandeep Nailwal, the cofounder of Polygon Labs, has proposed the creation of a novel zero-knowledge-powered Ethereum Layer 2 network for the ApeCoin ecosystem to rival <a href=""https://u.today/ai-shibarium-project-launches-own-wallet-with-shiba-inus-key-partner"">Shibarium</a>. Nailwal highlighted in a <a rel=""nofollow"" target=""_blank"" href=""https://forum.apecoin.com/t/aip-idea-apechain-a-zk-powered-polygon-layer-2-to-support-apecoin-growth/19308"">proposal</a> that the potential L2, called ApeChain, will be dedicated to the ApeCoin DAO community and will bring remarkable advancements to the blockchain ecosystem. </p>",http://u.today//polygon-cofounder-wants-to-build-shibarium-rival,U Today
